"Monster","Name","Description","Type","Tier","Comp%"
"Theatre of Blood","Morytania Only","Complete the Theatre of Blood without any member of the team equipping a non-barrows weapon (except Dawnbringer).","Restriction","Grandmaster (6 pts)","2.4%"
"Theatre of Blood: Hard Mode","Theatre of Blood: HM Grandmaster","Complete the Theatre of Blood: Hard Mode 50 times.","Kill Count","Grandmaster (6 pts)","3%"
"Theatre of Blood: Hard Mode","Nylo Sniper","Defeat Verzik Vitur's in the Theatre of Blood: Hard Mode without anyone in your team causing a Nylocas to explode by getting too close.","Mechanical","Grandmaster (6 pts)","2.1%"
"Theatre of Blood: Hard Mode","Theatre: HM (5-Scale) Speed-Runner","Complete the Theatre of Blood: Hard Mode (5-scale) with an overall time of less than 19 minutes.","Speed","Grandmaster (6 pts)","2.7%"
"Theatre of Blood: Hard Mode","Harder Mode I","Defeat Sotetseg in the Theatre of Blood: Hard Mode without anyone sharing the ball with anyone, without anyone dying, and without anyone taking damage from any of its other attacks or stepping on the wrong tile in the maze.","Perfection","Grandmaster (6 pts)","1.9%"
"Theatre of Blood: Hard Mode","Pack Like a Yak","Complete the Theatre of Blood: Hard Mode within the challenge time, with no deaths and without anyone buying anything from a supply chest.","Restriction","Grandmaster (6 pts)","1.8%"
"Theatre of Blood: Hard Mode","Theatre: HM (4-Scale) Speed-Runner","Complete the Theatre of Blood: Hard Mode (4-scale) with an overall time of less than 21 minutes.","Speed","Grandmaster (6 pts)","2.7%"
"Theatre of Blood: Hard Mode","Stop Right There!","Defeat the Maiden of Sugadinti in the Theatre of Blood: Hard Mode without letting blood spawns create more than 15 blood trails.","Mechanical","Grandmaster (6 pts)","3.8%"
"Theatre of Blood: Hard Mode","Team Work Makes the Dream Work","When Verzik Vitur in the Theatre of Blood: Hard Mode uses her yellow power blast attack while the tornadoes are active, have everyone get through the attack without taking damage. This cannot be completed with one player alive","Mechanical","Grandmaster (6 pts)","4.1%"
"Theatre of Blood: Hard Mode","Personal Space","Defeat the Pestilent Bloat in the Theatre of Blood: Hard Mode with at least 3 people in the room, without anyone in your team standing on top of each other.","Mechanical","Grandmaster (6 pts)","1.8%"
"Theatre of Blood: Hard Mode","Harder Mode II","Defeat Xarpus in the Theatre of Blood: Hard Mode after letting the exhumeds heal him to full health and without anyone in the team taking any damage.","Perfection","Grandmaster (6 pts)","1.6%"
"Theatre of Blood: Hard Mode","Theatre: HM (Trio) Speed-Runner","Complete the Theatre of Blood: Hard Mode (Trio) with an overall time of less than 23 minutes.","Speed","Grandmaster (6 pts)","1.7%"
"Theatre of Blood: Hard Mode","Royal Affairs","In the Theatre of Blood: Hard Mode, complete the Nylocas room without ever letting the Nylocas Prinkipas change styles.","Mechanical","Grandmaster (6 pts)","2.6%"
"Theatre of Blood: Hard Mode","Harder Mode III","Defeat Verzik Vitur in the Theatre of Blood: Hard Mode without anyone attacking her with a melee weapon during her third phase.","Restriction","Grandmaster (6 pts)","1.7%"
"Tombs of Amascut: Expert Mode","Perfection of Scabaras","Complete 'Perfect Scabaras' and 'Perfect Kephri' in a single run of Tombs of Amascut.","Perfection","Grandmaster (6 pts)","6.5%"
"Tombs of Amascut: Expert Mode","Expert Tomb Raider","Complete the Tombs of Amascut (Expert mode) 50 times.","Kill Count","Grandmaster (6 pts)","14.4%"
"Tombs of Amascut: Expert Mode","Tombs Speed Runner II","Complete the Tombs of Amascut (expert) within 20 mins at any group size.","Speed","Grandmaster (6 pts)","2.5%"
"Tombs of Amascut: Expert Mode","Insanity","Complete 'Perfect Wardens' at expert or above.","Perfection","Grandmaster (6 pts)","2.6%"
"Tombs of Amascut: Expert Mode","Akkhan't Do it","Defeat Akkha with all Akkha invocations activated and the path levelled up to at least four, without dying yourself.","Mechanical","Grandmaster (6 pts)","3.8%"
"Tombs of Amascut: Expert Mode","All Praise Zebak","Defeat Zebak without losing a single prayer point. You must also meet the conditions of the 'Rockin' Around The Croc' achievement.","Mechanical","Grandmaster (6 pts)","2.5%"
"Tombs of Amascut: Expert Mode","Amascut's Remnant","Complete the Tombs of Amascut at raid level 500 or above without anyone dying.","Mechanical","Grandmaster (6 pts)","7.5%"
"Tombs of Amascut: Expert Mode","Tombs Speed Runner III","Complete the Tombs of Amascut (expert) within 18 mins in a group of 8.","Speed","Grandmaster (6 pts)","2.1%"
"Tombs of Amascut: Expert Mode","Perfection of Apmeken","Complete 'Perfect Apmeken' and 'Perfect Ba-Ba' in a single run of the Tombs of Amascut.","Perfection","Grandmaster (6 pts)","6.9%"
"Tombs of Amascut: Expert Mode","Perfection of Het","Complete 'Perfect Het' and 'Perfect Akkha' in a single run of the Tombs of Amascut.","Perfection","Grandmaster (6 pts)","2.7%"
"Tombs of Amascut: Expert Mode","Perfection of Crondis","Complete 'Perfect Crondis' and 'Perfect Zebak' in a single run of the Tombs of Amascut.","Perfection","Grandmaster (6 pts)","13.2%"
"Tombs of Amascut: Expert Mode","Maybe I'm the boss.","Complete a Tombs of Amascut raid with every single boss invocation activated and without anyone dying.","Mechanical","Grandmaster (6 pts)","2.8%"
"TzHaar-Ket-Rak's Challenges","The VI Jad Challenge","Complete TzHaar-Ket-Rak's sixth challenge.","Kill Count","Grandmaster (6 pts)","3%"
"TzHaar-Ket-Rak's Challenges","It Wasn't a Fluke","Complete TzHaar-Ket-Rak's fifth and sixth challenges back to back without failing.","Perfection","Grandmaster (6 pts)","2.3%"
"TzHaar-Ket-Rak's Challenges","TzHaar-Ket-Rak's Speed-Runner","Complete TzHaar-Ket-Rak's fifth challenge in less than 5 minutes.","Speed","Grandmaster (6 pts)","2.4%"
"TzKal-Zuk","Nibbler Chaser","Kill Tzkal-Zuk without using any magic spells during any wave in the Inferno.","Restriction","Grandmaster (6 pts)","1.8%"
"TzKal-Zuk","Jad? What Are You Doing Here?","Kill Tzkal-Zuk without killing the JalTok-Jad which spawns during wave 69.","Restriction","Grandmaster (6 pts)","2.9%"
"TzKal-Zuk","Playing with Jads","Complete wave 68 of the Inferno within 30 seconds of the first JalTok-Jad dying.","Mechanical","Grandmaster (6 pts)","1.9%"
"TzKal-Zuk","No Luck Required","Kill Tzkal-Zuk without being attacked by TzKal-Zuk and without taking damage from a JalTok-Jad.","Perfection","Grandmaster (6 pts)","10.6%"
"TzKal-Zuk","Facing Jad Head-on II","Kill Tzkal-Zuk without equipping any range or mage weapons before wave 69.","Restriction","Grandmaster (6 pts)","1.6%"
"TzKal-Zuk","Wasn't Even Close","Kill Tzkal-Zuk without letting your hitpoints fall below 50 during any wave in the Inferno.","Restriction","Grandmaster (6 pts)","2.4%"
"TzKal-Zuk","Inferno Speed-Runner","Complete the Inferno in less than 65 minutes.","Speed","Grandmaster (6 pts)","2.1%"
"TzKal-Zuk","Inferno Grandmaster","Complete the Inferno 5 times.","Kill Count","Grandmaster (6 pts)","2.4%"
"TzKal-Zuk","Budget Setup","Kill Tzkal-Zuk without equipping a Twisted Bow within the Inferno.","Restriction","Grandmaster (6 pts)","9.2%"
"TzKal-Zuk","The Floor Is Lava","Kill Tzkal-Zuk without letting Jal-ImKot dig during any wave in the Inferno.","Mechanical","Grandmaster (6 pts)","1.8%"
"TzTok-Jad","No Time for a Drink","Complete the Fight Caves without losing any prayer points.","Restriction","Grandmaster (6 pts)","2%"
"TzTok-Jad","Denying the Healers II","Complete the Fight Caves without TzTok-Jad being healed by a Yt-HurKot.","Mechanical","Grandmaster (6 pts)","8.2%"
"TzTok-Jad","Fight Caves Speed-Runner","Complete the Fight Caves in less than 26 minutes and 30 seconds.","Speed","Grandmaster (6 pts)","3%"
"Vardorvis","Axe Enthusiast","Kill Vardorvis after surviving for 3 minutes of Vardorvis' max speed, and never leaving the centre 25 tiles.","Mechanical","Grandmaster (6 pts)","5%"
"Vardorvis","Vardorvis Sleeper","Kill Awakened Vardorvis.","Kill Count","Grandmaster (6 pts)","4.3%"
"Vardorvis","Vardorvis Speed-Runner","Kill Vardorvis in less than 0:55 without a slayer task.","Speed","Grandmaster (6 pts)","7.9%"
"Vorkath","Vorkath Speed-Runner","Kill Vorkath in less than 54 seconds.","Speed","Grandmaster (6 pts)","5.9%"
"Vorkath","Faithless Encounter","Kill Vorkath without losing any prayer points.","Restriction","Grandmaster (6 pts)","14.5%"
"Vorkath","The Fremennik Way","Kill Vorkath with only your fists.","Restriction","Grandmaster (6 pts)","9.5%"
"Whisperer","Whisperer Speed-Runner","Kill the Whisperer in less than 2:05 without a slayer task.","Speed","Grandmaster (6 pts)","2.7%"
"Whisperer","Whispered","Kill the Awakened Whisperer.","Kill Count","Grandmaster (6 pts)","3.9%"
"Whisperer","Dark Memories","Kill the Whisperer whilst spending less than 6 seconds in the pre-enrage shadow realm.","Restriction","Grandmaster (6 pts)","7.2%"
"Yama","Yama Speed-Runner","Defeat Yama in an average time of under 2:34 over your last four kills.","Speed","Grandmaster (6 pts)","1.7%"
"Yama","Contract Choreographer","Defeat Yama whilst completing 'Shadow Dancer', 'Fire Fighter', 'Back so soon?' and without taking any other avoidable damage.","Perfection","Grandmaster (6 pts)","13.8%"
"Yama","Contractually Unbound","Defeat Yama under the elevated conditions of one of his non-standard contracts.","Kill Count","Grandmaster (6 pts)","3.3%"
"Zulrah","Zulrah Speed-Runner","Kill Zulrah in less than 54 seconds, without a slayer task.","Speed","Grandmaster (6 pts)","16%"
